Mes,Semana,Objetivo principal,Hitos clave,Entregable esperado,KPI foco
Mes 1,S1,Claridad estratégica y foco de mensaje,"Frase de valor final, CTA unificado, owners asignados",Narrativa maestra aprobada,Comprensión del valor
Mes 1,S2,Activación sin fricción,"Demo guest, reducción de inputs, setup productivo crítico",Flujo mínimo operativo,% usuarios que ven resultado
Mes 1,S3,Velocidad y contenido inicial,"Tiempo a resultado optimizado, tracking del funnel, primeras piezas TikTok",Versión activable con telemetría,Tiempo hasta primer resultado
Mes 1,S4,Confianza y compra asistida,"Bloque trust, encuesta de confianza, botón de compra diseñado",Landing convergente,Confianza percibida
Mes 2,S5,Modelo económico y pipeline B2B,"Pricing preliminar, cuentas objetivo, afiliación inicial",Oferta comercial estructurada,ARPU / pipeline
Mes 2,S6,Escala de adquisición disciplinada,"Microinfluencers, pitch deck, cuadro de mando monetización",Motor comercial activado,CAC
Mes 2,S7,Retención funcional,"Historial de looks, oferta piloto, share assets base",Primeras palancas de hábito,Retención semanal
Mes 2,S8,Viralidad inicial,"Botón compartir outfit, variantes de exportación social",Loop social mínimo viable,Share rate
Mes 3,S9,Personalización y partnerships,"Recomendaciones, incentivos de share, conversaciones enterprise avanzadas",Experiencia más repetible,Sesiones repetidas
Mes 3,S10,Reactivación y optimización,"Notificaciones, tablero de salud y optimización de cohortes",Sistema de re-engagement,Retención / abandono
Mes 3,S11,Cierre de aprendizajes,"Revisión global de funnel, monetización y campañas",Plan de escalado documentado,Conversión a compra
Mes 3,S12,Decisión de escalado,"Síntesis ejecutiva, backlog siguiente trimestre, priorización partnerships",Roadmap Q siguiente aprobado,North Star consolidada
