ID,Bloque,Tarea,Descripción,Responsable,Prioridad (Alta/Media/Baja),Sprint (S1-S12),Fecha Límite,Estado (Pendiente/En curso/Completado/Bloqueado),Notas
OMEGA-001,PRODUCTO,Redactar frase de valor única en 3 idiomas,"Validar la promesa principal en español, inglés y francés para hero, onboarding y demo.",CEO/Brand,Alta,S1,2026-04-26,Pendiente,Alinear versión consumer y B2B.
OMEGA-002,PRODUCTO,Test de comprensión en 5 segundos,Lanzar una prueba rápida con usuarios fríos para verificar si entienden la propuesta sin explicación adicional.,Growth Research,Alta,S1,2026-04-26,Pendiente,Objetivo: >80% de comprensión.
OMEGA-003,PRODUCTO,Eliminar mensajes ambiguos o técnicos,"Revisar homepage, onboarding y demo para retirar jerga innecesaria o claims confusos.",Brand/UX,Alta,S1,2026-04-26,Pendiente,Usar lenguaje directo.
OMEGA-004,PRODUCTO,Implementar flujo demo sin login,Permitir uso inicial como invitado con telemetría completa del embudo de activación.,Tech/Product,Alta,S1-S2,2026-04-26,Pendiente,Prerequisito para activación masiva.
OMEGA-005,PRODUCTO,Reducir tiempo hasta primer resultado a menos de 10 segundos,"Optimizar procesamiento, colas y UX de espera para cumplir el SLA de activación.",Tech,Alta,S1-S2,2026-04-26,Pendiente,Medir p50 y p90.
OMEGA-006,PRODUCTO,Instrumentar eventos del flujo subir foto → elegir prenda → ver resultado,Registrar cada paso para detectar abandonos y cuellos de botella.,Data/BI,Alta,S2,2026-05-03,Pendiente,Conectar con Core Engine.
OMEGA-007,PRODUCTO,Optimizar motor de ajuste de ropa,Priorizar precisión del fit sobre nuevas features accesorias.,AI/Tech,Alta,S2-S3,2026-05-03,Pendiente,Evaluación visual semanal.
OMEGA-008,PRODUCTO,Mejorar iluminación y coherencia visual del output,Revisar render y postproceso para elevar credibilidad del resultado final.,AI/Tech,Alta,S2-S3,2026-05-03,Pendiente,Comparar versiones A/B.
OMEGA-009,PRODUCTO,Ajustar proporciones corporales y postura,Reducir outputs poco creíbles mediante tuning específico de proporciones y pose.,AI/Tech,Alta,S3,2026-05-10,Pendiente,Crear galería QA.
OMEGA-010,PRODUCTO,Diseñar panel interno de QA visual,"Clasificar outputs en aprobado, dudoso y no publicable para iteración rápida.",Product/QA,Media,S3,2026-05-10,Pendiente,Base para criterio WOW.
