Institution,Contact_Name,Email,Priority,PMV_Status,Risk_Flag,Status,Next_Action_Date
Big Sur Ventures,General,info@bigsurventures.vc,Alta,Bloqueado,Crítico,Pending reply,2026-01-07
Atlantic Bridge Ventures,General,info@abven.com,Alta,Bloqueado,Crítico,Pending reply,2026-01-07
IP Group,Dealflow,dealflow@ipgroupplc.com,Alta,Bloqueado,Crítico,Pending reply,2026-01-07
IQ Capital,General,hello@iqcapital.vc,Alta,Bloqueado,Crítico,Pending reply,2026-01-07
Intellectual Ventures,Patent Sales,patentsales@intven.com,Alta,Bloqueado,Crítico,Pending reply,2026-01-07
RPX Corporation,Deals,mlower@rpxcorp.com,Alta,Bloqueado,Crítico,Pending reply,2026-01-07
Acacia Research,IR,ir@acaciares.com,Alta,Bloqueado,Crítico,Pending reply,2026-01-07
Fortress Investment Group,Opportunities,opportunities@fortress.com,Alta,Bloqueado,Crítico,Pending reply,2026-01-07
Alumni Ventures,Partnerships,partnerships@av.vc,Alta,Bloqueado,Crítico,Pending reply,2026-01-07
Speedinvest Deep Tech,Office,office@speedinvest.com,Alta,Bloqueado,Crítico,Pending reply,2026-01-07
TechAccel,Michael Pavia,Michael@TechAccel.net,Alta,Bloqueado,Crítico,Pending reply,2026-01-07
